pl_rade,pl_bmasse,pl_dens,pl_orbsmax,log_pl_rade,log_pl_bmasse,log_pl_dens,log_pl_orbsmax,planet_class,planet_class_name
13.6,432.24663352,0.944,0.83,1.1335389083702174,2.63573161952981,-0.02502800570193105,-0.08092190762392612,0,Low-Density Giants
13.9,289.2253,0.592,1.0,1.1430148002540952,2.461236280219331,-0.22767829327708025,0.0,0,Low-Density Giants
13.5,540.311,1.21,1.7,1.130333768495006,2.732643809276511,0.08278537031645007,0.2304489213782739,2,Massive Dense Giants
13.5,508.5,1.14,4.2,1.130333768495006,2.7062909572587635,0.05690485133647256,0.6232492903979004,2,Massive Dense Giants
14.0,228.83645304,0.458,0.78,1.146128035678238,2.359525207590861,-0.3391345219961308,-0.10790539730951958,0,Low-Density Giants
14.68376472,4767.426105,8.27,1662.0,1.166837417126942,3.678283970215274,0.9175055095525466,3.220631019448092,2,Massive Dense Giants
12.4,3305.4154328,9.53,2.06,1.0934216851622351,3.519226050458373,0.9790929006383263,0.31386722036915343,2,Massive Dense Giants
2.84,1523.03372634,2.53,0.0428,0.45331834004703764,3.182709520539707,0.40312052117581787,-1.368556230986828,3,Intermediate Low-Density Planets
8.38,53.0,0.495,0.435,0.9232440186302765,1.724275869600789,-0.3053948010664313,-0.3615107430453627,0,Low-Density Giants
2.84,2948.49413174,2.53,0.06,0.45331834004703764,3.4696002677572126,0.40312052117581787,-1.2218487496163564,0,Low-Density Giants
12.5,104.0,0.293,0.68,1.0969100130080565,2.0170333392987803,-0.5331323796458906,-0.16749108729376366,0,Low-Density Giants
14.1,187.5197,0.368,0.04,1.14921911265538,2.2730468995403816,-0.43415218132648237,-1.3979400086720375,0,Low-Density Giants
14.1,206.5895,0.405,2.36,1.14921911265538,2.3151082445410927,-0.3925449767853314,0.37291200297010657,0,Low-Density Giants
4.04,15.37,1.28,0.3,0.6063813651106049,1.186673867499745,0.10720996964786837,-0.5228787452803376,3,Intermediate Low-Density Planets
12.5,3108.3774,8.75,1.66,1.0969100130080565,3.492533742685839,0.9420080530223133,0.22010808804005508,2,Massive Dense Giants
21.59,3932.0,2.15,0.0656,1.3342526423342307,3.594613509160098,0.33243845991560533,-1.1830961606243398,0,Low-Density Giants
